"","X","participant","num","gender","loudness","partner","partner_num","partner_gender","partner_loudness","partner_diff","nonpartner_diff","outlier","normdiff"
"1",1,"2005A",1169,"MALE",3.209173361,"2005B",1133,"MALE",1.643448839,1.565724522,1.075094053,"vhigh",1.45636050876751
"2",2,"2005B",1133,"MALE",1.643448839,"2005A",1169,"MALE",3.209173361,1.565724522,0.490630547,"no",3.19124956970932
"3",3,"2006A",1035,"FEMALE",1.602113286,"2006B",1061,"MALE",1.927784684,0.325671398,0.531514526,"low",0.612723419717037
"4",4,"2006B",1061,"MALE",1.927784684,"2006A",1035,"FEMALE",1.602113286,0.325671398,0.362630292,"no",0.898081062681879
"5",5,"2007A",1151,"MALE",1.492757933,"2007B",1052,"MALE",2.430263783,0.93750585,0.656219181,"vlow",1.42864743540619
"6",6,"2007B",1052,"MALE",2.430263783,"2007A",1151,"MALE",1.492757933,0.93750585,0.281286719,"no",3.33291899927917
"7",7,"2008A",1176,"FEMALE",3.19212164,"2008B",1057,"FEMALE",1.526407283,1.665714357,0.922714175,"vhigh",1.80523330206778
"8",8,"2008B",1057,"FEMALE",1.526407283,"2008A",1176,"FEMALE",3.19212164,1.665714357,0.743000125,"low",2.2418762809764
"9",9,"2009A",1055,"FEMALE",2.121789062,"2009B",1126,"FEMALE",2.836657169,0.714868107,0.158379973,"no",4.51362690281555
"10",10,"2009B",1126,"FEMALE",2.836657169,"2009A",1055,"FEMALE",2.121789062,0.714868107,0.556488127,"no",1.28460621586631
"11",11,"2010A",1027,"FEMALE",1.926924288,"2010B",1039,"MALE",2.925528224,0.998603937,0.187768277,"no",5.31827821480196
"12",12,"2010B",1039,"MALE",2.925528224,"2010A",1027,"FEMALE",1.926924288,0.998603937,0.634180266,"no",1.57463735555594
"13",13,"2012A",1110,"MALE",1.779722684,"2012B",1119,"MALE",1.342727958,0.436994726,0.386568676,"no",1.13044525625247
"14",14,"2012B",1119,"MALE",1.342727958,"2012A",1110,"MALE",1.779722684,0.436994726,0.823563376,"vlow",0.530614569242331
"15",15,"2013A",1071,"FEMALE",3.005879951,"2013B",1146,"MALE",3.004875521,0.001004431,0.868578093,"high",0.00115640839677498
"16",16,"2013B",1146,"MALE",3.004875521,"2013A",1071,"FEMALE",3.005879951,0.001004431,0.733466526,"high",0.0013694299117885
"17",17,"2014A",1153,"FEMALE",2.897010929,"2014B",1053,"FEMALE",1.887952442,1.009058487,0.608647297,"no",1.6578706452384
"18",18,"2014B",1053,"FEMALE",1.887952442,"2014A",1153,"FEMALE",2.897010929,1.009058487,0.400411203,"no",2.52005558146184
"19",19,"2015A",1122,"MALE",2.892132872,"2015B",1112,"FEMALE",2.111589463,0.78054341,0.597389567,"no",1.30659029403505
"20",20,"2015B",1112,"FEMALE",2.111589463,"2015A",1122,"MALE",2.892132872,0.78054341,0.025000008,"no",31.2217264090476
"21",21,"2017A",1148,"FEMALE",2.972652874,"2017B",1147,"MALE",1.708992644,1.26366023,0.827317787,"high",1.52741818181168
"22",22,"2017B",1147,"MALE",1.708992644,"2017A",1148,"FEMALE",2.972652874,1.26366023,0.55735835,"no",2.26723118080136
"23",23,"2018A",1000,"FEMALE",2.588327066,"2018B",1044,"FEMALE",2.007577906,0.58074916,0.308056198,"no",1.8852052442717
"24",24,"2018B",1044,"FEMALE",2.007577906,"2018A",1000,"FEMALE",2.588327066,0.58074916,0.272693002,"no",2.1296812009866
"25",25,"2019A",1052,"MALE",2.865947211,"2019B",1142,"MALE",1.867787714,0.998159497,0.730536953,"no",1.36633676489737
"26",26,"2019B",1142,"MALE",1.867787714,"2019A",1052,"MALE",2.865947211,0.998159497,0.267622547,"no",3.72972871004026
"27",27,"2020A",1176,"FEMALE",3.183723101,"2020B",1169,"MALE",3.041448226,0.142274875,1.054319484,"vhigh",0.134944746027287
"28",28,"2020B",1169,"MALE",3.041448226,"2020A",1176,"FEMALE",3.183723101,0.142274875,0.7763838,"high",0.183253276279077
"29",29,"2022A",1138,"FEMALE",2.936061049,"2022B",1107,"FEMALE",2.117500047,0.818561002,0.655117897,"high",1.24948655157867
"30",30,"2022B",1107,"FEMALE",2.117500047,"2022A",1138,"FEMALE",2.936061049,0.818561002,0.163443103,"no",5.00823214302288
"31",31,"2023A",1033,"FEMALE",2.082741929,"2023B",1135,"FEMALE",2.728778361,0.646036432,0.191607037,"no",3.3716738284513
"32",32,"2023B",1135,"FEMALE",2.728778361,"2023A",1033,"FEMALE",2.082741929,0.646036432,0.454429463,"no",1.42164292723247
"33",33,"2024A",1016,"FEMALE",2.145011574,"2024B",1061,"MALE",3.314585075,1.169573501,0.011383774,"no",102.740400591227
"34",34,"2024B",1061,"MALE",3.314585075,"2024A",1016,"FEMALE",2.145011574,1.169573501,1.027353908,"vhigh",1.13843291186468
"35",35,"2025A",1061,"MALE",2.454339455,"2025B",1064,"FEMALE",2.927200014,0.47286056,0.173578469,"no",2.7241890236974
"36",36,"2025B",1064,"FEMALE",2.927200014,"2025A",1061,"MALE",2.454339455,0.47286056,0.793572174,"no",0.595863332274551
"37",37,"2027A",1035,"FEMALE",2.7928586,"2027B",1096,"FEMALE",2.805140368,0.012281768,0.499325952,"no",0.024596694705746
"38",38,"2027B",1096,"FEMALE",2.805140368,"2027A",1035,"FEMALE",2.7928586,0.012281768,0.511607752,"no",0.0240062195148286
"39",39,"2028A",1086,"FEMALE",3.169250022,"2028B",1101,"MALE",2.062521399,1.106728623,1.018847965,"vhigh",1.08625492813346
"40",40,"2028B",1101,"MALE",2.062521399,"2028A",1086,"FEMALE",3.169250022,1.106728623,0.220316641,"no",5.02335464981967
"41",41,"2032A",1167,"MALE",1.826947402,"2032B",1093,"FEMALE",2.835256333,1.008308932,0.455614252,"no",2.21307592458719
"42",42,"2032B",1093,"FEMALE",2.835256333,"2032A",1167,"MALE",1.826947402,1.008308932,0.683858134,"no",1.47444167418501
"43",43,"2035A",1176,"FEMALE",3.147546095,"2035B",1107,"FEMALE",2.058737487,1.088808608,0.876982955,"vhigh",1.24153907643507
"44",44,"2035B",1107,"FEMALE",2.058737487,"2035A",1176,"FEMALE",3.147546095,1.088808608,0.211825645,"no",5.14011704295766
"45",45,"2036A",1063,"MALE",1.513492258,"2036B",1013,"FEMALE",3.400346739,1.886854481,0.760694048,"low",2.48043807620275
"46",46,"2036B",1013,"FEMALE",3.400346739,"2036A",1063,"MALE",1.513492258,1.886854481,1.2403187,"vhigh",1.52126584965622
"47",47,"2038A",1073,"MALE",1.6487774,"2038B",1039,"MALE",2.861278513,1.212501113,0.472339626,"no",2.56701120604266
"48",48,"2038B",1039,"MALE",2.861278513,"2038A",1073,"MALE",1.6487774,1.212501113,0.740161474,"no",1.63815755830599
"49",49,"2039A",1101,"MALE",2.030392443,"2039B",1152,"FEMALE",1.565022676,0.465369768,0.273713067,"no",1.70021027165649
"50",50,"2039B",1152,"FEMALE",1.565022676,"2039A",1101,"MALE",2.030392443,0.465369768,0.585379335,"low",0.794988377920789
"51",51,"2040A",1130,"FEMALE",1.715983146,"2040B",1119,"MALE",1.460897136,0.25508601,0.44132159,"no",0.578004828633016
"52",52,"2040B",1119,"MALE",1.460897136,"2040A",1130,"FEMALE",1.715983146,0.25508601,0.844667731,"vlow",0.301995684975445
"53",53,"2041A",1110,"MALE",1.748995089,"2041B",1179,"FEMALE",2.8290231,1.080028011,0.533970689,"no",2.02263538664011
"54",54,"2041B",1179,"FEMALE",2.8290231,"2041A",1110,"MALE",1.748995089,1.080028011,0.674513056,"no",1.60119659863189
"55",55,"2044A",1219,"MALE",2.316750921,"2044B",1005,"FEMALE",2.303445744,0.013305177,0.028434064,"no",0.467930894437039
"56",56,"2044B",1005,"FEMALE",2.303445744,"2044A",1219,"MALE",2.316750921,0.013305177,0.158243276,"no",0.0840805204260306
"57",57,"2045A",1033,"FEMALE",2.899476925,"2045B",1055,"FEMALE",3.419070186,0.519593262,0.614283249,"no",0.845852890903102
"58",58,"2045B",1055,"FEMALE",3.419070186,"2045A",1033,"FEMALE",2.899476925,0.519593262,1.133876549,"vhigh",0.458245002472487
"59",59,"2050A",1102,"MALE",2.256632183,"2050B",1148,"FEMALE",2.926236632,0.669604448,0.00971875,"no",68.8982068681672
"60",60,"2050B",1148,"FEMALE",2.926236632,"2050A",1102,"MALE",2.256632183,0.669604448,0.780227742,"no",0.858216661565464
"61",61,"2051A",1000,"FEMALE",2.569169743,"2051B",1051,"MALE",1.547909207,1.021260536,0.418349681,"no",2.44116484936438
"62",62,"2051B",1051,"MALE",1.547909207,"2051A",1000,"FEMALE",2.569169743,1.021260536,0.733147618,"low",1.39298077348456
"63",63,"2053A",1013,"FEMALE",3.124111048,"2053B",1135,"FEMALE",2.611248222,0.512862825,0.856452645,"vhigh",0.598822162549338
"64",64,"2053B",1135,"FEMALE",2.611248222,"2053A",1013,"FEMALE",3.124111048,0.512862825,0.343589845,"no",1.4926600202634
"65",65,"2054A",1007,"FEMALE",2.565664857,"2054B",1107,"FEMALE",2.11141459,0.454250267,0.271836311,"no",1.67104337654141
"66",66,"2054B",1107,"FEMALE",2.11141459,"2054A",1007,"FEMALE",2.565664857,0.454250267,0.182413989,"no",2.49021618073381
"67",67,"2055A",1176,"FEMALE",3.385681045,"2055B",1139,"MALE",2.16134374,1.224337305,1.237274247,"vhigh",0.989543998000954
"68",68,"2055B",1139,"MALE",2.16134374,"2055A",1176,"FEMALE",3.385681045,1.224337305,0.1037207,"no",11.8041751068012
"69",69,"2056A",1033,"FEMALE",3.052879182,"2056B",1011,"FEMALE",1.602307326,1.450571856,0.76931417,"high",1.88553898077817
"70",70,"2056B",1011,"FEMALE",1.602307326,"2056A",1033,"FEMALE",3.052879182,1.450571856,0.68125773,"low",2.12925562840953
"71",71,"2057A",1179,"FEMALE",2.931952874,"2057B",1060,"FEMALE",3.077663971,0.145711097,0.661946748,"no",0.220125104383774
"72",72,"2057B",1060,"FEMALE",3.077663971,"2057A",1179,"FEMALE",2.931952874,0.145711097,0.807657848,"high",0.180411912495896
"73",73,"2060A",1152,"FEMALE",1.785946594,"2060B",1056,"MALE",1.404516549,0.381430045,0.367543351,"no",1.03778246555738
"74",74,"2060B",1056,"MALE",1.404516549,"2060A",1152,"FEMALE",1.785946594,0.381430045,0.899588967,"vlow",0.424004805519141
"75",75,"2061A",1167,"MALE",1.674423306,"2061B",1021,"MALE",1.471452841,0.202970465,0.479287606,"no",0.423483650440984
"76",76,"2061B",1021,"MALE",1.471452841,"2061A",1167,"MALE",1.674423306,0.202970465,0.682258106,"vlow",0.297498062998463
"77",77,"2062A",1085,"MALE",1.896015464,"2062B",1096,"FEMALE",2.905396577,1.009381113,0.397281256,"no",2.54072171227731
"78",78,"2062B",1096,"FEMALE",2.905396577,"2062A",1085,"MALE",1.896015464,1.009381113,0.757157979,"no",1.33311824083676
"79",79,"2064A",1133,"MALE",1.84841075,"2064B",1148,"FEMALE",3.063132302,1.214721552,0.41794025,"no",2.90644787622154
"80",80,"2064B",1148,"FEMALE",3.063132302,"2064A",1133,"MALE",1.84841075,1.214721552,0.912189656,"high",1.33165460056478
"81",81,"2065A",1140,"MALE",1.821924954,"2065B",1064,"FEMALE",3.011059207,1.189134253,0.458836031,"no",2.59163224476589
"82",82,"2065B",1064,"FEMALE",3.011059207,"2065A",1140,"MALE",1.821924954,1.189134253,0.871623538,"high",1.36427505816163
"83",83,"2067A",1123,"FEMALE",1.443118957,"2067B",1107,"FEMALE",2.381216797,0.93809784,0.874273687,"vlow",1.0730024864628
"84",84,"2067B",1107,"FEMALE",2.381216797,"2067A",1123,"FEMALE",1.443118957,0.93809784,0.063824113,"no",14.6981727736663
"85",85,"2071A",1013,"FEMALE",2.849355127,"2071B",1016,"FEMALE",1.686366842,1.162988285,0.578769394,"no",2.00941566201754
"86",86,"2071B",1016,"FEMALE",1.686366842,"2071A",1013,"FEMALE",2.849355127,1.162988285,0.584218906,"no",1.9906721146063
"87",87,"2072A",1042,"FEMALE",1.367125676,"2072B",1061,"MALE",1.711063204,0.343937528,0.766502126,"vlow",0.448710468416887
"88",88,"2072B",1061,"MALE",1.711063204,"2072A",1042,"FEMALE",1.367125676,0.343937528,0.592357126,"no",0.580625289886358
"89",89,"2073A",1174,"MALE",2.019990779,"2073B",1047,"MALE",2.052621653,0.032630874,0.13063168,"no",0.249792959870071
"90",90,"2073B",1047,"MALE",2.052621653,"2073A",1174,"MALE",2.019990779,0.032630874,0.09800078,"no",0.332965451907628
"91",91,"2078A",1071,"FEMALE",2.791990849,"2078B",1027,"FEMALE",2.041277272,0.750713578,0.519668385,"no",1.44460121044308
"92",92,"2078B",1027,"FEMALE",2.041277272,"2078A",1071,"FEMALE",2.791990849,0.750713578,0.231045115,"no",3.24920774888489
"93",93,"2079A",1000,"FEMALE",2.6767902,"2079B",1061,"MALE",2.028556688,0.648233513,0.543162374,"no",1.19344333118332
"94",94,"2079B",1061,"MALE",2.028556688,"2079A",1000,"FEMALE",2.6767902,0.648233513,0.252500118,"no",2.56726023787442
"95",95,"2080A",1010,"MALE",1.482857545,"2080B",1051,"MALE",1.774472485,0.29161494,0.678090206,"vlow",0.430053313585243
"96",96,"2080B",1051,"MALE",1.774472485,"2080A",1010,"MALE",1.482857545,0.29161494,0.386475206,"no",0.754550189695739
"97",97,"2082A",1055,"FEMALE",2.324863318,"2082B",1060,"FEMALE",2.731286714,0.406423396,0.043011601,"no",9.44915758890258
"98",98,"2082B",1060,"FEMALE",2.731286714,"2082A",1055,"FEMALE",2.324863318,0.406423396,0.449435001,"no",0.904298497214728
"99",99,"2083A",1063,"MALE",1.202704771,"2083B",1018,"FEMALE",2.564064284,1.361359513,1.087074413,"vlow",1.25231492593323
"100",100,"2083B",1018,"FEMALE",2.564064284,"2083A",1063,"MALE",1.202704771,1.361359513,0.4040363,"no",3.36939901934554
"101",101,"2085A",1071,"FEMALE",2.890210773,"2085B",1051,"MALE",1.639204824,1.25100595,0.739390781,"no",1.6919415039339
"102",102,"2085B",1051,"MALE",1.639204824,"2085A",1071,"FEMALE",2.890210773,1.25100595,0.632204174,"no",1.97880052275643
"103",103,"2086A",1124,"MALE",1.862863238,"2086B",1156,"FEMALE",1.578447385,0.284415853,0.432012426,"no",0.658351093354893
"104",104,"2086B",1156,"FEMALE",1.578447385,"2086A",1124,"MALE",1.862863238,0.284415853,0.579970694,"low",0.490396938918434
"105",105,"2087A",1119,"MALE",1.519658017,"2087B",1023,"MALE",2.081426897,0.56176888,0.628923981,"low",0.893222228713203
"106",106,"2087B",1023,"MALE",2.081426897,"2087A",1119,"MALE",1.519658017,0.56176888,0.067155081,"no",8.36524759757195
"107",107,"2089A",1025,"MALE",2.534367959,"2089B",1147,"MALE",2.889481007,0.355113048,0.392120426,"no",0.905622417129578
"108",108,"2089B",1147,"MALE",2.889481007,"2089A",1025,"MALE",2.534367959,0.355113048,0.747233426,"no",0.475237102147516
"109",109,"2090A",1074,"FEMALE",1.923701478,"2090B",1094,"FEMALE",2.760476276,0.836774798,0.364218499,"no",2.29745276612103
"110",110,"2090B",1094,"FEMALE",2.760476276,"2090A",1074,"FEMALE",1.923701478,0.836774798,0.472556301,"no",1.77074095981634
"111",111,"2091A",1145,"MALE",1.499624224,"2091B",1035,"FEMALE",2.767503951,1.267879727,0.790790792,"no",1.60330613333697
"112",112,"2091B",1035,"FEMALE",2.767503951,"2091A",1145,"MALE",1.499624224,1.267879727,0.616319012,"no",2.05718094414391
"113",113,"2092A",1167,"MALE",1.592936869,"2092B",1069,"MALE",2.878374695,1.285437826,0.554806183,"low",2.31691330303722
"114",114,"2092B",1069,"MALE",2.878374695,"2092A",1167,"MALE",1.592936869,1.285437826,0.730631617,"no",1.75935149272359
"115",115,"2093A",1069,"MALE",2.696669493,"2093B",1008,"FEMALE",2.587160714,0.109508779,0.410927382,"no",0.266491803167305
"116",116,"2093B",1008,"FEMALE",2.587160714,"2093A",1069,"MALE",2.696669493,0.109508779,0.444853142,"no",0.246168383812382
"117",117,"2094A",1072,"FEMALE",1.749877507,"2094B",1056,"MALE",1.53115189,0.218725617,0.403612451,"no",0.541919894834959
"118",118,"2094B",1056,"MALE",1.53115189,"2094A",1072,"FEMALE",1.749877507,0.218725617,0.761247877,"low",0.287325092927648
"119",119,"2095A",1169,"MALE",2.951815525,"2095B",1221,"MALE",1.461444979,1.490370546,0.820162865,"high",1.81716413849096
"120",120,"2095B",1221,"MALE",1.461444979,"2095A",1169,"MALE",2.951815525,1.490370546,0.670207635,"vlow",2.22374450568591
"121",121,"2096A",1139,"MALE",2.000698874,"2096B",1112,"FEMALE",2.181745696,0.181046823,0.294044433,"no",0.615712466149631
"122",122,"2096B",1112,"FEMALE",2.181745696,"2096A",1139,"MALE",2.000698874,0.181046823,0.033338947,"no",5.43049014115533
"123",123,"2101A",1148,"FEMALE",2.852100453,"2101B",1016,"FEMALE",2.492229132,0.359871321,0.589618391,"no",0.610346160318463
"124",124,"2101B",1016,"FEMALE",2.492229132,"2101A",1148,"FEMALE",2.852100453,0.359871321,0.229746991,"no",1.56638099778203
"125",125,"2102A",1138,"FEMALE",2.926532963,"2102B",1056,"MALE",1.748591509,1.177941454,0.773043049,"no",1.52377213083252
"126",126,"2102B",1056,"MALE",1.748591509,"2102A",1138,"FEMALE",2.926532963,1.177941454,0.526636515,"no",2.23672575001754
"127",127,"2104A",1031,"FEMALE",1.878820077,"2104B",1013,"FEMALE",2.948030448,1.069210371,0.402701692,"no",2.65509281992289
"128",128,"2104B",1013,"FEMALE",2.948030448,"2104A",1031,"FEMALE",1.878820077,1.069210371,0.666508608,"high",1.60419589209567
"129",129,"2105A",1000,"FEMALE",2.59730219,"2105B",1133,"MALE",2.184253571,0.413048618,0.446359556,"no",0.925371961791269
"130",130,"2105B",1133,"MALE",2.184253571,"2105A",1000,"FEMALE",2.59730219,0.413048618,0.096803218,"no",4.26688933006339
"131",131,"2107A",1053,"FEMALE",2.052714324,"2107B",1135,"FEMALE",2.664238882,0.611524558,0.235580217,"no",2.59582305249341
"132",132,"2107B",1135,"FEMALE",2.664238882,"2107A",1053,"FEMALE",2.052714324,0.611524558,0.375944383,"no",1.62663570903784
"133",133,"2108A",1151,"MALE",1.462261851,"2108B",1181,"MALE",3.520450936,2.058189085,0.668473565,"vlow",3.07893863387103
"134",134,"2108B",1181,"MALE",3.520450936,"2108A",1151,"MALE",1.462261851,2.058189085,1.389715435,"vhigh",1.48101476976112
"135",135,"2109A",1123,"FEMALE",1.46213324,"2109B",1076,"MALE",3.255105951,1.792972711,0.68015011,"vlow",2.63614264651078
"136",136,"2109B",1076,"MALE",3.255105951,"2109A",1123,"FEMALE",1.46213324,1.792972711,0.944304067,"vhigh",1.89872391071678
"137",137,"2110A",1174,"MALE",2.075124383,"2110B",1071,"FEMALE",2.819962327,0.744837944,0.196284574,"no",3.79468405907435
"138",138,"2110B",1071,"FEMALE",2.819962327,"2110A",1174,"MALE",2.075124383,0.744837944,0.672388669,"no",1.10774910158398
"139",139,"2111A",1055,"FEMALE",1.773867269,"2111B",1106,"FEMALE",1.985874025,0.212006756,0.525243221,"no",0.403635396943086
"140",140,"2111B",1106,"FEMALE",1.985874025,"2111A",1055,"FEMALE",1.773867269,0.212006756,0.313236521,"no",0.676826429188951
"141",141,"2113A",1152,"FEMALE",1.785538159,"2113B",1026,"FEMALE",1.696337776,0.089200383,0.527464629,"no",0.169111591746183
"142",142,"2113B",1026,"FEMALE",1.696337776,"2113A",1152,"FEMALE",1.785538159,0.089200383,0.616665029,"no",0.144649653872297
"143",143,"2114A",1025,"MALE",2.670213939,"2114B",1050,"MALE",1.861161653,0.809052286,0.526361288,"no",1.5370664683076
"144",144,"2114B",1050,"MALE",1.861161653,"2114A",1025,"MALE",2.670213939,0.809052286,0.282690912,"no",2.86196779470576
"145",145,"2116A",1139,"MALE",2.007103442,"2116B",1128,"MALE",1.842659461,0.164443981,0.143485125,"no",1.14606988703533
"146",146,"2116B",1128,"MALE",1.842659461,"2116A",1139,"MALE",2.007103442,0.164443981,0.307929025,"no",0.534032090674141
"147",147,"2118A",1180,"FEMALE",1.534443769,"2118B",1016,"FEMALE",2.971361786,1.436918016,0.767554192,"low",1.87207369978119
"148",148,"2118B",1016,"FEMALE",2.971361786,"2118A",1180,"FEMALE",1.534443769,1.436918016,0.669363808,"high",2.14669212590592
"149",149,"2120A",1123,"FEMALE",1.286269056,"2120B",1169,"MALE",2.998831714,1.712562659,0.843134516,"vlow",2.03118556588662
"150",150,"2120B",1169,"MALE",2.998831714,"2120A",1123,"FEMALE",1.286269056,1.712562659,0.688029767,"high",2.48908221873488
"151",151,"2121A",1121,"MALE",1.798161709,"2121B",1087,"MALE",1.830319519,0.03215781,0.3553552,"no",0.0904948344642206
"152",152,"2121B",1087,"MALE",1.830319519,"2121A",1121,"MALE",1.798161709,0.03215781,0.3231974,"no",0.0994989749298726
"153",153,"2122A",1167,"MALE",2.429622071,"2122B",1112,"FEMALE",1.93464849,0.494973582,0.134878767,"no",3.66976650965381
"154",154,"2122B",1112,"FEMALE",1.93464849,"2122A",1167,"MALE",2.429622071,0.494973582,0.216749666,"no",2.28361866080107
"155",155,"2123A",1145,"MALE",1.613418382,"2123B",1044,"FEMALE",2.813101906,1.199683524,0.676111141,"low",1.77438804251267
"156",156,"2123B",1044,"FEMALE",2.813101906,"2123A",1145,"MALE",1.613418382,1.199683524,0.661916912,"no",1.81243824149337
"157",157,"2124A",1083,"FEMALE",1.905030364,"2124B",1026,"FEMALE",1.701767232,0.203263131,0.393320196,"no",0.516787932750852
"158",158,"2124B",1026,"FEMALE",1.701767232,"2124A",1083,"FEMALE",1.905030364,0.203263131,0.596583396,"no",0.340712015055813
"159",159,"2125A",1005,"FEMALE",2.563089849,"2125B",1142,"MALE",2.276296459,0.28679339,0.418566216,"no",0.685180454219936
"160",160,"2125B",1142,"MALE",2.276296459,"2125A",1005,"FEMALE",2.563089849,0.28679339,0.012020336,"no",23.8590160874039
"161",161,"2129A",1013,"FEMALE",1.268803916,"2129B",1147,"MALE",3.57677472,2.307970805,0.876531213,"vlow",2.63307315332306
