participant,num,gender,self_feature,partner,partner_num,partner_gender,partner_feature,partner_diff,nonpartner_diff
2242A,1010,MALE,,2242B,1095,MALE,,,
2242B,1095,MALE,,2242A,1010,MALE,,,
2243A,1151,MALE,,2243B,1130,FEMALE,,,
2243B,1130,FEMALE,,2243A,1151,MALE,,,
2244A,1130,FEMALE,,2244B,1107,FEMALE,,,
2244B,1107,FEMALE,,2244A,1130,FEMALE,,,
2245A,1141,MALE,,2245B,1126,FEMALE,,,
2245B,1126,FEMALE,,2245A,1141,MALE,,,
2246A,1013,FEMALE,,2246B,1110,MALE,,,
2246B,1110,MALE,,2246A,1013,FEMALE,,,
2247A,1085,MALE,,2247B,1170,MALE,,,
2247B,1170,MALE,,2247A,1085,MALE,,,
2248A,1000,FEMALE,,2248B,1112,FEMALE,,,
2248B,1112,FEMALE,,2248A,1000,FEMALE,,,
2249A,1132,FEMALE,,2249B,1135,FEMALE,,,
2249B,1135,FEMALE,,2249A,1132,FEMALE,,,
2250A,1145,MALE,,2250B,1133,MALE,,,
2250B,1133,MALE,,2250A,1145,MALE,,,
2251A,1401,FEMALE,,2251B,1181,MALE,,,
2251B,1181,MALE,,2251A,1401,FEMALE,,,
2252A,1078,MALE,,2252B,1140,MALE,,,
2252B,1140,MALE,,2252A,1078,MALE,,,
2253A,1140,MALE,,2253B,1149,FEMALE,,,
2253B,1149,FEMALE,,2253A,1140,MALE,,,
2254A,1124,MALE,,2254B,1007,FEMALE,,,
2254B,1007,FEMALE,,2254A,1124,MALE,,,
2255A,1139,MALE,,2255B,1175,FEMALE,,,
2255B,1175,FEMALE,,2255A,1139,MALE,,,
2256A,1063,MALE,,2256B,1152,FEMALE,,,
2256B,1152,FEMALE,,2256A,1063,MALE,,,
2257A,1115,MALE,,2257B,1159,MALE,,,
2257B,1159,MALE,,2257A,1115,MALE,,,
2258A,1140,MALE,,2258B,1102,MALE,,,
2258B,1102,MALE,,2258A,1140,MALE,,,
2259A,1055,FEMALE,,2259B,1101,MALE,,,
2259B,1101,MALE,,2259A,1055,FEMALE,,,
2260A,1047,MALE,,2260B,1005,FEMALE,,,
2260B,1005,FEMALE,,2260A,1047,MALE,,,
2261A,1180,FEMALE,,2261B,1122,MALE,,,
2261B,1122,MALE,,2261A,1180,FEMALE,,,
2262A,1043,FEMALE,,2262B,1148,FEMALE,,,
2262B,1148,FEMALE,,2262A,1043,FEMALE,,,
2263A,1043,FEMALE,,2263B,1059,MALE,,,
2263B,1059,MALE,,2263A,1043,FEMALE,,,
2264A,1096,FEMALE,,2264B,1094,FEMALE,,,
2264B,1094,FEMALE,,2264A,1096,FEMALE,,,
2265A,1052,MALE,,2265B,1061,MALE,,,
2265B,1061,MALE,,2265A,1052,MALE,,,
2266A,1061,MALE,,2266B,1098,FEMALE,,,
2266B,1098,FEMALE,,2266A,1061,MALE,,,
2267A,1120,FEMALE,,2267B,1126,FEMALE,,,
2267B,1126,FEMALE,,2267A,1120,FEMALE,,,
2268A,1031,FEMALE,,2268B,1112,FEMALE,,,
2268B,1112,FEMALE,,2268A,1031,FEMALE,,,
2269A,1181,MALE,,2269B,1087,MALE,,,
2269B,1087,MALE,,2269A,1181,MALE,,,
2270A,1147,MALE,,2270B,1061,MALE,,,
2270B,1061,MALE,,2270A,1147,MALE,,,
2271A,1154,MALE,,2271B,1170,MALE,,,
2271B,1170,MALE,,2271A,1154,MALE,,,
2272A,1016,FEMALE,,2272B,1007,FEMALE,,,
2272B,1007,FEMALE,,2272A,1016,FEMALE,,,
2273A,1019,MALE,,2273B,1023,MALE,,,
2273B,1023,MALE,,2273A,1019,MALE,,,
2274A,1007,FEMALE,,2274B,1075,FEMALE,,,
2274B,1075,FEMALE,,2274A,1007,FEMALE,,,
2275A,1115,MALE,,2275B,1026,FEMALE,,,
2275B,1026,FEMALE,,2275A,1115,MALE,,,
2276A,1105,FEMALE,,2276B,1063,MALE,,,
2276B,1063,MALE,,2276A,1105,FEMALE,,,
2277A,1033,FEMALE,,2277B,1175,FEMALE,,,
2277B,1175,FEMALE,,2277A,1033,FEMALE,,,
2278A,1090,MALE,,2278B,1028,MALE,,,
2278B,1028,MALE,,2278A,1090,MALE,,,
2279A,1167,MALE,,2279B,1000,FEMALE,,,
2279B,1000,FEMALE,,2279A,1167,MALE,,,
2280A,1175,FEMALE,,2280B,1116,MALE,,,
2280B,1116,MALE,,2280A,1175,FEMALE,,,
2281A,1260,FEMALE,,2281B,1159,MALE,,,
2281B,1159,MALE,,2281A,1260,FEMALE,,,
2282A,1139,MALE,,2282B,1149,FEMALE,,,
2282B,1149,FEMALE,,2282A,1139,MALE,,,
2283A,1214,FEMALE,,2283B,1073,MALE,,,
2283B,1073,MALE,,2283A,1214,FEMALE,,,
2284A,1083,FEMALE,,2284B,1153,FEMALE,,,
2284B,1153,FEMALE,,2284A,1083,FEMALE,,,
2285A,1214,FEMALE,,2285B,1068,FEMALE,,,
2285B,1068,FEMALE,,2285A,1214,FEMALE,,,
2286A,1024,MALE,,2286B,1178,FEMALE,,,
2286B,1178,FEMALE,,2286A,1024,MALE,,,
2287A,1022,FEMALE,,2287B,1135,FEMALE,,,
2287B,1135,FEMALE,,2287A,1022,FEMALE,,,
2288A,1093,FEMALE,,2288B,1219,MALE,,,
2288B,1219,MALE,,2288A,1093,FEMALE,,,
2290A,1101,MALE,,2290B,1053,FEMALE,,,
2290B,1053,FEMALE,,2290A,1101,MALE,,,
2291A,1180,FEMALE,,2291B,1084,MALE,,,
2291B,1084,MALE,,2291A,1180,FEMALE,,,
2292A,1148,FEMALE,,2292B,1176,FEMALE,,,
2292B,1176,FEMALE,,2292A,1148,FEMALE,,,
2293A,1120,FEMALE,,2293B,1142,MALE,,,
2293B,1142,MALE,,2293A,1120,FEMALE,,,
2294A,1121,MALE,,2294B,1122,MALE,,,
2294B,1122,MALE,,2294A,1121,MALE,,,
2295A,1000,FEMALE,,2295B,1016,FEMALE,,,
2295B,1016,FEMALE,,2295A,1000,FEMALE,,,
2296A,1130,FEMALE,,2296B,1056,MALE,,,
2296B,1056,MALE,,2296A,1130,FEMALE,,,
2297A,1019,MALE,,2297B,1052,MALE,,,
2297B,1052,MALE,,2297A,1019,MALE,,,
2298A,1170,MALE,,2298B,1023,MALE,,,
2298B,1023,MALE,,2298A,1170,MALE,,,
2299A,1108,MALE,,2299B,1107,FEMALE,,,
2299B,1107,FEMALE,,2299A,1108,MALE,,,
2300A,1083,FEMALE,,2300B,1061,MALE,,,
2300B,1061,MALE,,2300A,1083,FEMALE,,,
2301A,1013,FEMALE,,2301B,1133,MALE,,,
2301B,1133,MALE,,2301A,1013,FEMALE,,,
2302A,1047,MALE,,2302B,1085,MALE,,,
2302B,1085,MALE,,2302A,1047,MALE,,,
2303A,1028,MALE,,2303B,1031,FEMALE,,,
2303B,1031,FEMALE,,2303A,1028,MALE,,,
2304A,1105,FEMALE,,2304B,1167,MALE,,,
2304B,1167,MALE,,2304A,1105,FEMALE,,,
2305A,1141,MALE,,2305B,1169,MALE,,,
2305B,1169,MALE,,2305A,1141,MALE,,,
2306A,1123,FEMALE,,2306B,1060,FEMALE,,,
2306B,1060,FEMALE,,2306A,1123,FEMALE,,,
2307A,1115,MALE,,2307B,1020,FEMALE,,,
2307B,1020,FEMALE,,2307A,1115,MALE,,,
2308A,1214,FEMALE,,2308B,1117,MALE,,,
2308B,1117,MALE,,2308A,1214,FEMALE,,,
2309A,1022,FEMALE,,2309B,1078,MALE,,,
2309B,1078,MALE,,2309A,1022,FEMALE,,,
2310A,1127,MALE,,2310B,1101,MALE,,,
2310B,1101,MALE,,2310A,1127,MALE,,,
2311A,1214,FEMALE,,2311B,1007,FEMALE,,,
2311B,1007,FEMALE,,2311A,1214,FEMALE,,,
2312A,1145,MALE,,2312B,1075,FEMALE,,,
2312B,1075,FEMALE,,2312A,1145,MALE,,,
2313A,1039,MALE,,2313B,1024,MALE,,,
2313B,1024,MALE,,2313A,1039,MALE,,,
2314A,1055,FEMALE,,2314B,1086,FEMALE,,,
2314B,1086,FEMALE,,2314A,1055,FEMALE,,,
2315A,1214,FEMALE,,2315B,1146,MALE,,,
2315B,1146,MALE,,2315A,1214,FEMALE,,,
2316A,1214,FEMALE,,2316B,1059,MALE,,,
2316B,1059,MALE,,2316A,1214,FEMALE,,,
2317A,1091,FEMALE,,2317B,1175,FEMALE,,,
2317B,1175,FEMALE,,2317A,1091,FEMALE,,,
2318A,1214,FEMALE,,2318B,1178,FEMALE,,,
2318B,1178,FEMALE,,2318A,1214,FEMALE,,,
2319A,1102,MALE,,2319B,1139,MALE,,,
2319B,1139,MALE,,2319A,1102,MALE,,,
2320A,1159,MALE,,2320B,1033,FEMALE,,,
2320B,1033,FEMALE,,2320A,1159,MALE,,,
2323A,1130,FEMALE,,2323B,1167,MALE,,,
2323B,1167,MALE,,2323A,1130,FEMALE,,,
2324A,1083,FEMALE,,2324B,1138,FEMALE,,,
2324B,1138,FEMALE,,2324A,1083,FEMALE,,,
2325A,1005,FEMALE,,2325B,1064,FEMALE,,,
2325B,1064,FEMALE,,2325A,1005,FEMALE,,,
2326A,1159,MALE,,2326B,1059,MALE,,,
2326B,1059,MALE,,2326A,1159,MALE,,,
2327A,1147,MALE,,2327B,1117,MALE,,,
2327B,1117,MALE,,2327A,1147,MALE,,,
2328A,1180,FEMALE,,2328B,1026,FEMALE,,,
2328B,1026,FEMALE,,2328A,1180,FEMALE,,,
2329A,1121,MALE,,2329B,1126,FEMALE,,,
2329B,1126,FEMALE,,2329A,1121,MALE,,,
2330A,1170,MALE,,2330B,1016,FEMALE,,,
2330B,1016,FEMALE,,2330A,1170,MALE,,,
2331A,1108,MALE,,2331B,1142,MALE,,,
2331B,1142,MALE,,2331A,1108,MALE,,,
2332A,1019,MALE,,2332B,1092,MALE,,,
2332B,1092,MALE,,2332A,1019,MALE,,,
2333A,1151,MALE,,2333B,1169,MALE,,,
2333B,1169,MALE,,2333A,1151,MALE,,,
2334A,1141,MALE,,2334B,1071,FEMALE,,,
2334B,1071,FEMALE,,2334A,1141,MALE,,,
2335A,1063,MALE,,2335B,1175,FEMALE,,,
2335B,1175,FEMALE,,2335A,1063,MALE,,,
2336A,1115,MALE,,2336B,1101,MALE,,,
2336B,1101,MALE,,2336A,1115,MALE,,,
2337A,1073,MALE,,2337B,1127,MALE,,,
2337B,1127,MALE,,2337A,1073,MALE,,,
2338A,1033,FEMALE,,2338B,1219,MALE,,,
2338B,1219,MALE,,2338A,1033,FEMALE,,,
2339A,1022,FEMALE,,2339B,1071,FEMALE,,,
2339B,1071,FEMALE,,2339A,1022,FEMALE,,,
2340A,1104,MALE,,2340B,1106,FEMALE,,,
2340B,1106,FEMALE,,2340A,1104,MALE,,,
2341A,1181,MALE,,2341B,1002,FEMALE,,,
2341B,1002,FEMALE,,2341A,1181,MALE,,,
2342A,1168,MALE,,2342B,1028,MALE,,,
2342B,1028,MALE,,2342A,1168,MALE,,,
2343A,1139,MALE,,2343B,1178,FEMALE,,,
2343B,1178,FEMALE,,2343A,1139,MALE,,,
2344A,1028,MALE,,2344B,1055,FEMALE,,,
2344B,1055,FEMALE,,2344A,1028,MALE,,,
2345A,1060,FEMALE,,2345B,1039,MALE,,,
2345B,1039,MALE,,2345A,1060,FEMALE,,,
2346A,1041,MALE,,2346B,1008,FEMALE,,,
2346B,1008,FEMALE,,2346A,1041,MALE,,,
2347A,1180,FEMALE,,2347B,1020,FEMALE,,,
2347B,1020,FEMALE,,2347A,1180,FEMALE,,,
2348A,1121,MALE,,2348B,1016,FEMALE,,,
2348B,1016,FEMALE,,2348A,1121,MALE,,,
2349A,1133,MALE,,2349B,1027,FEMALE,,,
2349B,1027,FEMALE,,2349A,1133,MALE,,,
2350A,1176,FEMALE,,2350B,1126,FEMALE,,,
2350B,1126,FEMALE,,2350A,1176,FEMALE,,,
2352A,1031,FEMALE,,2352B,1151,MALE,,,
2352B,1151,MALE,,2352A,1031,FEMALE,,,
2353A,1124,MALE,,2353B,1148,FEMALE,,,
2353B,1148,FEMALE,,2353A,1124,MALE,,,
2354A,1083,FEMALE,,2354B,1117,MALE,,,
2354B,1117,MALE,,2354A,1083,FEMALE,,,
2355A,1074,FEMALE,,2355B,1064,FEMALE,,,
2355B,1064,FEMALE,,2355A,1074,FEMALE,,,
2356A,1033,FEMALE,,2356B,1107,FEMALE,,,
2356B,1107,FEMALE,,2356A,1033,FEMALE,,,
2358A,1013,FEMALE,,2358B,1075,FEMALE,,,
2358B,1075,FEMALE,,2358A,1013,FEMALE,,,
2359A,1019,MALE,,2359B,1123,FEMALE,,,
2359B,1123,FEMALE,,2359A,1019,MALE,,,
2360A,1233,FEMALE,,2360B,1128,MALE,,,
2360B,1128,MALE,,2360A,1233,FEMALE,,,
2361A,1181,MALE,,2361B,1042,FEMALE,,,
2361B,1042,FEMALE,,2361A,1181,MALE,,,
2362A,1141,MALE,,2362B,1026,FEMALE,,,
2362B,1026,FEMALE,,2362A,1141,MALE,,,
2363A,1060,FEMALE,,2363B,1023,MALE,,,
2363B,1023,MALE,,2363A,1060,FEMALE,,,
2365A,1039,MALE,,2365B,1086,FEMALE,,,
2365B,1086,FEMALE,,2365A,1039,MALE,,,
2366A,1119,MALE,,2366B,1069,MALE,,,
2366B,1069,MALE,,2366A,1119,MALE,,,
2367A,1063,MALE,,2367B,1115,MALE,,,
2367B,1115,MALE,,2367A,1063,MALE,,,
2368A,1069,MALE,,2368B,1260,FEMALE,,,
2368B,1260,FEMALE,,2368A,1069,MALE,,,
2369A,1069,MALE,,2369B,1127,MALE,,,
2369B,1127,MALE,,2369A,1069,MALE,,,
2370A,1138,FEMALE,,2370B,1084,MALE,,,
2370B,1084,MALE,,2370A,1138,FEMALE,,,
2371A,1146,MALE,,2371B,1106,FEMALE,,,
2371B,1106,FEMALE,,2371A,1146,MALE,,,
2372A,1055,FEMALE,,2372B,1135,FEMALE,,,
2372B,1135,FEMALE,,2372A,1055,FEMALE,,,
2373A,1120,FEMALE,,2373B,1209,MALE,,,
2373B,1209,MALE,,2373A,1120,FEMALE,,,
2374A,1102,MALE,,2374B,1024,MALE,,,
2374B,1024,MALE,,2374A,1102,MALE,,,
2375A,1130,FEMALE,,2375B,1157,FEMALE,,,
2375B,1157,FEMALE,,2375A,1130,FEMALE,,,
2376A,1133,MALE,,2376B,1064,FEMALE,,,
2376B,1064,FEMALE,,2376A,1133,MALE,,,
2377A,1041,MALE,,2377B,1096,FEMALE,,,
2377B,1096,FEMALE,,2377A,1041,MALE,,,
2378A,1121,MALE,,2378B,1102,MALE,,,
2378B,1102,MALE,,2378A,1121,MALE,,,
2379A,1110,MALE,,2379B,1117,MALE,,,
2379B,1117,MALE,,2379A,1110,MALE,,,
2380A,1132,FEMALE,,2380B,1035,FEMALE,,,
2380B,1035,FEMALE,,2380A,1132,FEMALE,,,
2381A,1151,MALE,,2381B,1098,FEMALE,,,
2381B,1098,FEMALE,,2381A,1151,MALE,,,
2382A,1170,MALE,,2382B,1149,FEMALE,,,
2382B,1149,FEMALE,,2382A,1170,MALE,,,
2383A,1176,FEMALE,,2383B,1061,MALE,,,
2383B,1061,MALE,,2383A,1176,FEMALE,,,
2384A,1233,FEMALE,,2384B,1181,MALE,,,
2384B,1181,MALE,,2384A,1233,FEMALE,,,
2386A,1071,FEMALE,,2386B,1400,FEMALE,,,
2386B,1400,FEMALE,,2386A,1071,FEMALE,,,
2387A,1022,FEMALE,,2387B,1072,FEMALE,,,
2387B,1072,FEMALE,,2387A,1022,FEMALE,,,
2388A,1115,MALE,,2388B,1023,MALE,,,
2388B,1023,MALE,,2388A,1115,MALE,,,
2389A,1120,FEMALE,,2389B,1042,FEMALE,,,
2389B,1042,FEMALE,,2389A,1120,FEMALE,,,
2390A,1214,FEMALE,,2390B,1126,FEMALE,,,
2390B,1126,FEMALE,,2390A,1214,FEMALE,,,
2392A,1033,FEMALE,,2392B,1039,MALE,,,
2392B,1039,MALE,,2392A,1033,FEMALE,,,
2393A,1148,FEMALE,,2393B,1068,FEMALE,,,
2393B,1068,FEMALE,,2393A,1148,FEMALE,,,
2394A,1145,MALE,,2394B,1024,MALE,,,
2394B,1024,MALE,,2394A,1145,MALE,,,
2395A,1055,FEMALE,,2395B,1162,MALE,,,
2395B,1162,MALE,,2395A,1055,FEMALE,,,
2396A,1138,FEMALE,,2396B,1178,FEMALE,,,
2396B,1178,FEMALE,,2396A,1138,FEMALE,,,
2397A,1093,FEMALE,,2397B,1014,FEMALE,,,
2397B,1014,FEMALE,,2397A,1093,FEMALE,,,
2398A,1139,MALE,,2398B,1219,MALE,,,
2398B,1219,MALE,,2398A,1139,MALE,,,
2399A,1047,MALE,,2399B,1101,MALE,,,
2399B,1101,MALE,,2399A,1047,MALE,,,
2401A,1103,MALE,,2401B,1175,FEMALE,,,
2401B,1175,FEMALE,,2401A,1103,MALE,,,
2402A,1180,FEMALE,,2402B,1090,MALE,,,
2402B,1090,MALE,,2402A,1180,FEMALE,,,
2403A,1031,FEMALE,,2403B,1208,FEMALE,,,
2403B,1208,FEMALE,,2403A,1031,FEMALE,,,
2404A,1075,FEMALE,,2404B,1148,FEMALE,,,
2404B,1148,FEMALE,,2404A,1075,FEMALE,,,
2405A,1096,FEMALE,,2405B,1176,FEMALE,,,
2405B,1176,FEMALE,,2405A,1096,FEMALE,,,
2406A,1103,MALE,,2406B,1092,MALE,,,
2406B,1092,MALE,,2406A,1103,MALE,,,
2407A,1149,FEMALE,,2407B,1016,FEMALE,,,
2407B,1016,FEMALE,,2407A,1149,FEMALE,,,
2408A,1133,MALE,,2408B,1151,MALE,,,
2408B,1151,MALE,,2408A,1133,MALE,,,
2409A,1106,FEMALE,,2409B,1147,MALE,,,
2409B,1147,MALE,,2409A,1106,FEMALE,,,
2410A,1083,FEMALE,,2410B,1126,FEMALE,,,
2410B,1126,FEMALE,,2410A,1083,FEMALE,,,
2411A,1063,MALE,,2411B,1033,FEMALE,,,
2411B,1033,FEMALE,,2411A,1063,MALE,,,
2413A,1022,FEMALE,,2413B,1039,MALE,,,
2413B,1039,MALE,,2413A,1022,FEMALE,,,
2415A,1060,FEMALE,,2415B,1209,MALE,,,
2415B,1209,MALE,,2415A,1060,FEMALE,,,
